MsgSize,KeyGenMean,EncMean,DecMean,CiphertextSize
16,0.053304,0.106346,0.054849,97
32,0.052555,0.212947,0.107940,194
64,0.052889,0.315192,0.159739,291
128,0.052758,0.533522,0.271241,485
256,0.111375,2.044331,1.050317,873
512,0.109958,3.751110,1.906806,1649
1024,0.096649,6.650477,3.298578,3298
